"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 14 16:05:27 MSK 2023","Sun May 14 16:05:31 MSK 2023","3812","","LoginTests","","LoginTests","enterInAccountFromRegistrationFormLinkSingIn","enterInAccountFromRegistrationFormLinkSingIn",""
"passed","Sun May 14 16:05:47 MSK 2023","Sun May 14 16:05:51 MSK 2023","3943","","RegistrationTests","","RegistrationTests","registrateNewUserWithCorrectData","registrateNewUserWithCorrectData",""
"passed","Sun May 14 16:05:43 MSK 2023","Sun May 14 16:05:47 MSK 2023","3751","","PrivateCabinetTests","","PrivateCabinetTests","EnterInPrivateCabinet","EnterInPrivateCabinet",""
"passed","Sun May 14 16:05:31 MSK 2023","Sun May 14 16:05:35 MSK 2023","3898","","PrivateCabinetTests","","PrivateCabinetTests","OpenContsructorFromPrivateCabinetWithButton","OpenContsructorFromPrivateCabinetWithButton",""
"passed","Sun May 14 16:05:05 MSK 2023","Sun May 14 16:05:10 MSK 2023","4622","","ConstructorTests","","ConstructorTests","openIngredientTabCheckIngredientSection[Для вкладки: By.xpath: //section[1]/div[1]/div[2], ингредиенты: By.xpath: //h2[contains(text(),'Соусы')]]","openIngredientTabCheckIngredientSection[Для вкладки: By.xpath: //section[1]/div[1]/div[2], ингредиенты: By.xpath: //h2[contains(text(),'Соусы')]]",""
"passed","Sun May 14 16:05:12 MSK 2023","Sun May 14 16:05:14 MSK 2023","2682","","ConstructorTests","","ConstructorTests","openIngredientTabCheckIngredientSection[Для вкладки: By.xpath: //section[1]/div[1]/div[1], ингредиенты: By.xpath: //h2[contains(text(),'Булки')]]","openIngredientTabCheckIngredientSection[Для вкладки: By.xpath: //section[1]/div[1]/div[1], ингредиенты: By.xpath: //h2[contains(text(),'Булки')]]",""
"passed","Sun May 14 16:05:23 MSK 2023","Sun May 14 16:05:27 MSK 2023","3777","","LoginTests","","LoginTests","enterInAccountFromConstructorPageEnterInAccountButton","enterInAccountFromConstructorPageEnterInAccountButton",""
"passed","Sun May 14 16:05:35 MSK 2023","Sun May 14 16:05:39 MSK 2023","4617","","PrivateCabinetTests","","PrivateCabinetTests","LogoutFromPrivateCabinet","LogoutFromPrivateCabinet",""
"passed","Sun May 14 16:05:10 MSK 2023","Sun May 14 16:05:12 MSK 2023","1764","","ConstructorTests","","ConstructorTests","openIngredientTabCheckIngredientSection[Для вкладки: By.xpath: //section[1]/div[1]/div[3], ингредиенты: By.xpath: //h2[contains(text(),'Начинки')]]","openIngredientTabCheckIngredientSection[Для вкладки: By.xpath: //section[1]/div[1]/div[3], ингредиенты: By.xpath: //h2[contains(text(),'Начинки')]]",""
"passed","Sun May 14 16:05:14 MSK 2023","Sun May 14 16:05:19 MSK 2023","4942","","LoginTests","","LoginTests","enterInAccountFromNavbarPrivateCabinet","enterInAccountFromNavbarPrivateCabinet",""
"passed","Sun May 14 16:05:51 MSK 2023","Sun May 14 16:05:53 MSK 2023","2048","","RegistrationTests","","RegistrationTests","registrateNewUserWithIncorrectPasswordLength3","registrateNewUserWithIncorrectPasswordLength3",""
"passed","Sun May 14 16:05:39 MSK 2023","Sun May 14 16:05:43 MSK 2023","3953","","PrivateCabinetTests","","PrivateCabinetTests","OpenContsructorFromPrivateCabinetWithLogo","OpenContsructorFromPrivateCabinetWithLogo",""
"passed","Sun May 14 16:05:19 MSK 2023","Sun May 14 16:05:23 MSK 2023","3832","","LoginTests","","LoginTests","enterInAccountFromRestorePasswordLinkSingIn","enterInAccountFromRestorePasswordLinkSingIn",""
